Algorithm,n,Time(ms),Comparisons,Allocations,MaxDepth
MergeSort,100,0.1143,652,8,4
MergeSort,1000,0.893,10329,64,7
MergeSort,5000,1.8313,58374,512,10
MergeSort,10000,1.9561,127178,1024,11
MergeSort,20000,4.9325,273952,2048,12
QuickSort,100,0.0738,616,68,1
QuickSort,1000,0.6315,10637,670,1
QuickSort,5000,1.2658,67704,3327,1
QuickSort,10000,2.8308,149126,6641,1
QuickSort,20000,3.6787,355140,13358,1
Select,100,3.4262,367,12,1
Select,1000,0.9573,3966,28,1
Select,5000,3.65,15727,44,1
Select,10000,4.1122,38413,47,1
Select,20000,4.2999,58646,57,1
ClosestPair,100,12.3577,0,0,0
ClosestPair,1000,8.8104,0,0,0
ClosestPair,5000,20.7585,0,0,0
ClosestPair,10000,30.3374,0,0,0
ClosestPair,20000,55.914,0,0,0
Algorithm,n,Time(ms),Comparisons,Allocations,MaxDepth
MergeSort,100,0.1252,640,8,4
MergeSort,1000,1.0145,10289,64,7
MergeSort,5000,1.946,58542,512,10
MergeSort,10000,2.0492,127275,1024,11
MergeSort,20000,4.8641,274310,2048,12
QuickSort,100,0.1088,777,66,1
QuickSort,1000,0.7903,10718,660,1
QuickSort,5000,1.282,73639,3333,1
QuickSort,10000,2.9534,149612,6686,1
QuickSort,20000,1.7513,320576,13371,1
Select,100,2.9823,348,14,1
Select,1000,0.7287,3607,29,1
Select,5000,1.9944,18137,42,1
Select,10000,3.2022,33610,46,1
Select,20000,3.1675,64637,49,1
ClosestPair,100,6.4334,0,0,0
ClosestPair,1000,8.0068,0,0,0
ClosestPair,5000,19.8009,0,0,0
ClosestPair,10000,24.1934,0,0,0
ClosestPair,20000,52.5256,0,0,0
